key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,02.02.2022
Export Time,15:33:52
Frame Index Range:,0 - 749
Relative Time Range,00:00.000 - 00:25.096
Absolute Time Range,10088.188052 - 10113.284191
