id,start_timestamp,duration,end_timestamp,start_frame_index,index,end_frame_index,confidence,filter_response,base_data
1,10089.071062,0.2799990000003163,10089.351061000001,27,31,35,0.6905061812879635,0.5697571900155809 0.6590593413070395 0.7487826435654249 0.8388668077963369 0.9283125069406297 1.0147182808982003 1.095071479126259 1.0024788865336665 0.9098862939410739 0.8172937013484813 0.7256201075183021 0.6330275149257095 0.5404349223331169 0.44948755039109123 0.3583296029656022 0.26699122455384994 0.09482139633860437 -0.08634445360314383 -0.2654099416060622 -0.3580025341986549 -0.4505951267912474 -0.54318771938384 -0.6357803119764327 -0.7283729045690254 -0.8209654971616178 -0.9135580897542105 -1.006150682346803 -1.0987432749393955 -1.0290345028383823 -0.9382937620976415 -0.8457011695050487 -0.7531085769124561 -0.6605159843198637,10089.071062 10089.079119 10089.087148 10089.099105000001 10089.107159000001 10089.115257000001 10089.122928 10089.131011000001 10089.139011000001 10089.147057 10089.154909 10089.162935 10089.170959000001 10089.183071000001 10089.191075 10089.199217000001 10089.207059 10089.214982000001 10089.223009000001 10089.231041000001 10089.239233 10089.24716 10089.255031 10089.267174 10089.275153 10089.283109 10089.291119000001 10089.299062 10089.307155 10089.315066000001 10089.323028 10089.330939000001 10089.339066
2,10092.459017000001,0.20818599999984144,10092.667203,128,131,134,0.654662578808195,0.5715534974027562 0.6641460899953489 0.7567386825879414 0.849331275180534 0.9419238677731268 1.0345164603657193 1.0237178101950688 0.8617767704268515 0.6912862186753685 0.5354642904038275 0.4428716978112348 0.2775326000106418 0.09327334075138259 -0.09078414111149807 -0.27364773642057905 -0.45883292160576417 -0.6440181067909493 -0.8273399459204326 -0.8535256528035323 -0.8074213510448759 -0.7442180253196875 -0.7103519465543832 -0.8029445391469759 -0.7500441213235675 -0.6593033805828267,10092.459017000001 10092.467153000001 10092.475065 10092.483144 10092.491155 10092.499071 10092.507178 10092.515006000001 10092.52291 10092.530989 10092.543165000001 10092.550978000001 10092.559225 10092.566929 10092.574959000001 10092.582970000001 10092.591118 10092.599055 10092.607073000001 10092.615099 10092.627099000001 10092.635256000001 10092.643146 10092.65112 10092.659015000001
3,10092.82701,0.27622299999893585,10093.103233,139,143,147,0.6799140382808716,0.5189338726666674 0.6115264652592602 0.7041190578518528 0.7967116504444455 0.8874523911851862 0.9733120320660532 1.0251865176827135 1.0506220699923574 0.9580294773997647 0.8654368848071721 0.7728442922145794 0.6825107653295115 0.5899181727369189 0.49732558014432626 0.3337217223246399 0.24112912973204711 0.07863109350944306 -0.08583491432397114 -0.24693293002105 -0.3985395950647607 -0.4877540061115305 -0.5773589545173966 -0.6699515471099893 -0.760571314263694 -0.8531639068562866 -0.945756499448879 -0.8963265615872839 -0.9886860337914216 -0.9396158872721388 -0.8817286976713634 -0.7965923370790511 -0.7039997444864585 -0.6169391583165446,10092.82701 10092.835287 10092.843272 10092.851142000001 10092.85908 10092.867141 10092.878948000001 10092.887006 10092.894999 10092.903138000001 10092.911179 10092.91893 10092.927249 10092.935143 10092.943280000001 10092.950964000001 10092.962958 10092.971052 10092.978967000001 10092.987032 10092.995146000001 10093.002946 10093.010970000001 10093.019307 10093.027044 10093.035047000001 10093.047374 10093.055263 10093.063127000001 10093.071264 10093.078985 10093.086991 10093.095188000001
4,10094.759018,0.23606800000015937,10094.995086,197,200,204,0.7011900917585496,0.5781998190614912 0.6707924116540837 0.7633850042466764 0.855977596839269 0.9485701894318617 0.9976381568996994 1.08837889764044 0.9958302800302152 0.856695602235731 0.7641030096431383 0.6199287339126721 0.4760427456612478 0.2956214788607899 0.12444643165744335 -0.06073875352774178 -0.24592393871292703 -0.4291448859432306 -0.5872504889140603 -0.7715097481733195 -0.8641023407659122 -0.8636107629547214 -0.9560829541648675 -0.9455121804817127 -0.935517981756642 -0.8524532259335043 -0.7878809093045889 -0.6952883167119962 -0.6026957241194036,10094.759018 10094.766857 10094.774857 10094.783119 10094.791070000001 10094.799003 10094.81117 10094.818998 10094.827093 10094.835088 10094.843089 10094.851012000001 10094.859234000001 10094.86723 10094.875129 10094.883118 10094.895022 10094.902996 10094.911048 10094.918803 10094.927028 10094.935185 10094.943303 10094.95187 10094.959176 10094.966862000001 10094.978927 10094.986985000001
5,10098.278947,0.3121969999992871,10098.591144,302,306,311,0.606126145452346,0.5728930912768854 0.6654856838694779 0.7580782764620706 0.850670869054663 0.9432634616472557 1.0340042023879967 0.941411609795404 1.0011809827971885 0.9085883902045958 0.8159957976120035 0.7234032050194107 0.6308106124268184 0.5382180198342257 0.4456254272416331 0.35303283464904045 0.26044024205644795 0.16784764946385536 0.029293778194275998 -0.024786973012863794 -0.15819946924845377 -0.22124554517106232 -0.2849230253210916 -0.28492302532109165 -0.37658969198775827 -0.46918228458035083 -0.5617748771729435 -0.6543674697655361 -0.7469600623581285 -0.8395526549507211 -0.8383708383374887 -0.8228019285158017 -0.8009314942315914 -0.7674319349789667 -0.732669567271501 -0.8252621598640935 -0.7345214191233527 -0.6419288265307601,10098.278947 10098.287005 10098.295 10098.303095000001 10098.311396000001 10098.318898000001 10098.327044000001 10098.339057000001 10098.346882 10098.354902000001 10098.362954 10098.370792 10098.378899000001 10098.387317 10098.39523 10098.402933000001 10098.411006 10098.423296 10098.431154 10098.438925 10098.447145 10098.45506 10098.46305 10098.471206 10098.479003 10098.487076000001 10098.495278 10098.507071 10098.514968000001 10098.522808 10098.530905000001 10098.539277 10098.546933000001 10098.554938000001 10098.562897 10098.570913000001 10098.578949
6,10101.991253,0.3200250000008964,10102.311278000001,412,417,422,0.6169393607554753,0.5123845311891133 0.6049771237817058 0.6975697163742983 0.790162308966891 0.8827549015594837 0.9753474941520763 1.0230252274321168 1.0616895428849606 0.9690969502923683 0.8765043576997755 0.7839117651071831 0.6913191725145904 0.5987265799219977 0.5061339873294052 0.4135413947368127 0.32094880214421995 0.2283562095516274 0.13576361695903477 0.06562845402271818 -0.0750772260317064 -0.14748463814263676 -0.14748463814263665 -0.2391513048093034 -0.3182369274819848 -0.4017340830776936 -0.4935978929899866 -0.5848695914648708 -0.6774621840574634 -0.7700547766500558 -0.8626473692426484 -0.955239961835241 -0.8976781023644209 -0.8454558707351527 -0.9380484633277454 -0.8473077225870046 -0.7817290698342344 -0.7073273512354095 -0.61526639807749,10101.991253 10101.999313 10102.007206 10102.015055 10102.022968000001 10102.035186000001 10102.04406 10102.05125 10102.059015 10102.067082000001 10102.075638 10102.089942 10102.094006000001 10102.099121000001 10102.107038 10102.11895 10102.127191000001 10102.1352 10102.143036000001 10102.150964 10102.159103 10102.166859 10102.174877000001 10102.182851000001 10102.191028000001 10102.203126 10102.210997 10102.219275000001 10102.226962 10102.235085 10102.243214 10102.251052000001 10102.258977000001 10102.267058000001 10102.274958 10102.287276000001 10102.295216 10102.303052000001
7,10103.922924,1.7321919999994861,10105.655116,470,496,522,0.15399790397966276,0.52085923599097 0.3662906830200836 0.20188421234161283 0.052343393941759776 0.04598169414542417 0.02561471791971108 0.04323495790173756 0.03939472281642329 0.013803687556986898 -0.0750543760172036 -0.12676874556148002 -0.1756027096090886 -0.23846557606374297 -0.19104382265721817 -0.11110635026962197 -0.0636067228932087 -0.0008608101189401641 -0.012528393228969162 -0.011602008952219156 0.021105469479378327 0.045824068454124824 0.09424844649157749 0.13140890984678327 0.17466917457458764 0.225581823013995 0.25916785928992925 0.24973233916196158 0.26609854620013845 0.14166471085264498 0.16362729624410832 0.12702534772676813 0.058839560216779184 0.04060244295277345 0.03476109394265919 -0.004831081629347496 -0.04004968912567979 -0.06457751095349758 -0.08531404965508468 -0.07317822939874556 -0.07688768422842279 -0.016378914257069745 -0.03311916357941091 -0.04411535688231229 -0.008778613019059892 -0.008248596026569488 -0.03212290321285928 0.045100783495484985 0.032605158873215134 0.0143702068506598 0.07527796369140098 0.11863238444163038 0.0967996840076541 0.06359452149439104 0.05939491619723178 0.08807227358621411 0.13363428378472592 0.17313269944778972 0.26475129267211184 0.20368781869689484 0.2193674501319493 0.22211673006132784 0.08941344563877149 -0.04365756080940905 -0.029578779742447617 0.013593763891874472 0.02312871339764507 0.028011565611466473 -0.0863471333077891 -0.1987998728770017 -0.3322186261342807 -0.3942652069787359 -0.37914234169943695 -0.3486130671087711 -0.25234317147570945 -0.15761062864301684 -0.11947538295379947 -0.12061238838139637 -0.12386211668191427 -0.14330614550364143 -0.06787476770421877 0.026537046950096108 0.10744196067135738 0.18409507915811493 0.2384209563895232 0.21095027571483288 0.16375190336114095 0.16152133198518812 0.08671151872962647 0.07492548115651852 0.057934312126156025 0.09770237050280711 0.06702894830751381 0.03998902801720263 0.01600728407660211 -0.003876135551894485 -0.12602924331864657 -0.09838160490787401 -0.03852986622400292 -0.03830868056187457 0.04877992007595841 0.08306320100047289 0.11013459791963223 0.11795122168606169 0.19792740949801896 0.2443563978752723 0.22311119254239814 0.22441341605702578 0.2853602591338192 0.2769786751333414 0.2812919171906149 0.30307454500275327 0.24872024558656017 0.15378328990370302 0.1338757614166047 0.09554128524147301 0.03203801103029601 -0.012866723771067007 0.07366388391832014 0.13433012604980055 0.18237426576142948 0.1371525934440915 0.034928974729193776 -0.05901951591254142 -0.056803373827678014 0.010643469163261237 0.048241664337096514 0.048241664337096514 0.04824166433709656 0.048241664337096576 -0.07551082290674381 -0.1941319139546666 -0.30342812771382494 -0.2574507835433763 -0.19773018565810302 -0.14197462119805526 -0.1410681504489419 -0.1579958357242636 -0.1862197473927499 -0.2228653728692338 -0.27376163003132786 -0.3198789219895717 -0.2564530118468863 -0.19106008275207734 -0.1428776968129383 -0.15495452864254902 -0.15712178112132505 -0.16335872284744465 -0.15313439595430917 -0.15720108603023708 -0.17773061812387397 -0.14788728994815267 -0.0896245195735368 -0.04009698649710925 -0.047259417545607786 -0.04823568091859423 -0.03521069181697237 -0.05049039217568114 -0.03486563059426024 -0.0171137448092634 -0.035867595710831854 -0.030801001468487667 -0.006060499687294376 -0.022098569809695323 -0.06579320614577457 -0.0886885064237317 -0.0986546789776065 -0.10913304307435398 -0.1205590106440585 -0.09097891424030059 -0.10686235998004674 -0.13751825399461715 -0.1155381085313801 -0.10323257270460919 -0.12894192227610826 -0.11357821800090627 -0.06991994325761434 -0.056220447575604245 -0.025786409775415905 -0.0005162479700864041 -0.00018212326245792577 0.054353163031631575 0.055185237087115195 0.15942369423704492 0.2136046253989959 0.2687390377141526 0.373438884485181 0.4546805009815142 0.5198780648151748 0.5936413017705348 0.638312952056609 0.6151195119320586 0.6255733864556458 0.49909023304180256 0.504499748933783 0.3649199594277187 0.23072818697561165 0.10927997587966035 -0.04551187375118989 -0.1878664967863382 -0.33534575609186823 -0.4694594188645768 -0.6035736721647844 -0.6162739359196578 -0.6150735556899042 -0.5598965426105789 -0.5527819734273112,10103.922924 10103.930974 10103.939096 10103.946824 10103.954921 10103.966918 10103.974844 10103.982926 10103.991056 10103.998989 10104.007228 10104.015021000001 10104.023097000001 10104.03102 10104.039169 10104.051248 10104.059150000001 10104.066966 10104.074980000001 10104.083252 10104.091015 10104.099067000001 10104.107122000001 10104.115047000001 10104.122882000001 10104.13538 10104.142971000001 10104.150855 10104.159219000001 10104.166789 10104.174912 10104.182924 10104.191231 10104.199166 10104.207036 10104.219251 10104.227114000001 10104.235402 10104.243093000001 10104.251006 10104.259035000001 10104.266984 10104.275068 10104.283008 10104.291039 10104.303010000001 10104.311018 10104.318977 10104.327046 10104.335219 10104.343015 10104.350925 10104.359267 10104.366959 10104.374971000001 10104.387054 10104.395073 10104.402994 10104.411061 10104.419039 10104.427219000001 10104.435232 10104.443045 10104.451037 10104.459098000001 10104.471303 10104.479087 10104.487067 10104.495059 10104.503231 10104.511 10104.518838 10104.527036000001 10104.534928000001 10104.543137 10104.554973 10104.562938000001 10104.571057000001 10104.578794000001 10104.587058000001 10104.595056 10104.603143 10104.610954 10104.619165 10104.627222000001 10104.639145000001 10104.647101 10104.654977 10104.663181 10104.670895000001 10104.679067000001 10104.687107 10104.695003 10104.703236000001 10104.711173 10104.722870000001 10104.730842 10104.739177000001 10104.746856 10104.754878 10104.762899000001 10104.770872000001 10104.778823 10104.787162 10104.795235000001 10104.807165 10104.814939 10104.823024000001 10104.831063000001 10104.839165000001 10104.847115 10104.854919000001 10104.863046 10104.871102000001 10104.879145 10104.891012 10104.89904 10104.907246 10104.915245 10104.922899000001 10104.930839 10104.938984 10104.946897 10104.954933 10104.962894 10104.974923 10104.982947 10104.990960000001 10104.999275 10105.006981 10105.015055 10105.023105 10105.031092000001 10105.039111 10105.046965000001 10105.059005000001 10105.067017000001 10105.075037 10105.08313 10105.090975000001 10105.099035000001 10105.10698 10105.115135 10105.122874 10105.130892000001 10105.143172 10105.150867 10105.158982 10105.166944 10105.174916 10105.182929 10105.191002000001 10105.199260000001 10105.206951 10105.215016 10105.227006000001 10105.235099000001 10105.243138 10105.25105 10105.25914 10105.26726 10105.275364000001 10105.283217 10105.291510000001 10105.29919 10105.311083 10105.318902 10105.327116 10105.335069 10105.342997 10105.350905000001 10105.35917 10105.366938000001 10105.374926 10105.382988000001 10105.394903 10105.403007 10105.410992000001 10105.419201 10105.426979 10105.435009 10105.443123000001 10105.451039000001 10105.459003 10105.467055000001 10105.4791 10105.48705 10105.495039000001 10105.503154 10105.510978 10105.518929 10105.526955000001 10105.535006 10105.543097 10105.551458 10105.562873 10105.571547000001 10105.578902000001 10105.586997 10105.594939 10105.603146000001 10105.610945 10105.620699000001 10105.627122 10105.635042 10105.646956
8,10105.839144000001,0.25193399999989197,10106.091078000001,527,531,535,0.4395906213386677,0.573780507558919 0.694457550449397 0.7764670955283809 0.8752813368405491 0.9404211669530065 0.855671105167273 0.9497466863935708 0.8571540938009781 0.7645615012083855 0.671968908615793 0.5793763160232004 0.4384738898374243 0.35946823672981654 0.26921056779312247 0.19083357811943738 0.10396831305908322 0.03572256769160924 0.03572256769160922 -0.052527105044780156 -0.12070454512981683 -0.17945142285486645 -0.20956788931527112 -0.24764180488955684 -0.18330411541409056 -0.22951625050385874 -0.28393651087142907 -0.33969637459242885 -0.39681415905722983 -0.45843224873313293 -0.5138402242920145,10105.839144000001 10105.84698 10105.855166000001 10105.862978000001 10105.871099 10105.879219 10105.887091 10105.898999000001 10105.906976 10105.914929 10105.922908 10105.930919 10105.939112 10105.946912000001 10105.954855 10105.962943 10105.970888 10105.982921 10105.991038 10105.999337000001 10106.007109 10106.015073 10106.022974000001 10106.030982 10106.039082000001 10106.046902 10106.055096 10106.067171 10106.075269 10106.083213
9,10106.335087000001,0.24381199999879755,10106.578899,542,545,549,0.6356489787537171,0.5161990399713867 0.59295063857679 0.6366499880949653 0.7293862720330554 0.8373078253534103 0.7793790976206463 0.7158041433051779 0.6515159145549493 0.5802759022624403 0.5002951447610502 0.4330898260628736 0.3685929810559308 0.20579912596278735 0.04499881907745661 -0.10361270220191374 -0.2777777777777777 -0.462037037037037 -0.5546296296296295 -0.647222222222222 -0.7398148148148146 -0.8324074074074073 -0.9249999999999997 -1.0175925925925926 -1.110185185185185 -1.0194444444444446 -0.9268518518518518 -0.8342592592592594 -0.7416666666666668 -0.6490740740740741,10106.335087000001 10106.343067 10106.35092 10106.359247 10106.366921 10106.374929000001 10106.382952 10106.391077 10106.402926 10106.411083 10106.41926 10106.427086 10106.435161000001 10106.443297 10106.450949 10106.459137 10106.467039000001 10106.475035000001 10106.487052 10106.495182 10106.503050000001 10106.511258 10106.518857000001 10106.527104 10106.535232 10106.543133000001 10106.550947 10106.558987 10106.570907000001
10,10109.918837000001,0.3483669999986887,10110.267204,649,654,659,0.5375198466575248,0.585259764330466 0.6778523569230586 0.7704449495156511 0.8630375421082438 0.9556301347008362 1.042971251706356 1.0814069023362005 0.988814309743608 0.8962217171510151 0.8036291245584226 0.7110365319658302 0.6184439393732376 0.5258513467806449 0.4332587541880523 0.34066616159545976 0.17342898092459832 0.08083638833200574 -0.07166121817606258 -0.1371753397872809 -0.13717533978728086 -0.18653383680898653 -0.18653383680898675 -0.1865338368089867 -0.2499981248627561 -0.3375670033720564 -0.39466566467999165 -0.47130062030693864 -0.37917843004188423 -0.4376448413410599 -0.40425000458970256 -0.49593969719291975 -0.5885322897855122 -0.5824078883346934 -0.675000480927286 -0.7675930735198786 -0.7332570900049323 -0.6507119255789244 -0.6291071955556463 -0.5684298768943451 -0.6213330857822398 -0.5969928557764808,10109.918837000001 10109.930853 10109.939102 10109.946917000001 10109.954895 10109.962764 10109.970724 10109.978885 10109.987000000001 10109.995057 10110.002921000001 10110.014957000001 10110.023176 10110.030912 10110.038995 10110.047001 10110.055183 10110.063153000001 10110.071093 10110.079081 10110.08712 10110.098935 10110.107027 10110.115121 10110.122837 10110.130799 10110.139179 10110.146873 10110.154849 10110.162868000001 10110.170791 10110.182840000001 10110.191235 10110.199067000001 10110.20702 10110.21512 10110.223195 10110.231308 10110.239010000001 10110.247062 10110.255189000001
