key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,25.01.2022
Export Time,15:53:31
Frame Index Range:,0 - 1125
Relative Time Range,00:00.000 - 00:37.699
Absolute Time Range,22830.222087000002 - 22867.921854
