pupil_timestamp,world_index,eye_id,confidence,norm_pos_x,norm_pos_y,diameter,method,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius,theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,projected_sphere_angle
10088.191325,0,0,0.9442312717437744,0.38110264678761685,0.3965321163512685,35.50445054531834,pye3d 0.3.0 real-time,121.95284697203739,144.83229207569556,31.600067357077233,35.50445054531834,13.42691841882899,3.4755341327943263,1.0,,-0.2418854395925018,4.16216303433007,47.043933595692735,10.392304845413264,-4.476167933732078,2.4460052707412805,37.70982119598932,-0.40744402296940063,-0.1651373577966423,-0.8981753844358318,1.7377670663971632,1.7366936063728524,-1.9966692210198396,158.07735709259066,149.92877615140716,178.78397257185662,178.78397257185662,0.0
10088.191325,0,0,0.9442312717437744,0.3812288761138916,0.3965791702270508,35.49115753173828,2d c++,121.99324035644531,144.8209991455078,30.487520217895508,35.49115753173828,10.392325401306152,,,,,,,,,,,,,,,,,,,,,
10088.199164000001,0,0,0.950025200843811,0.38111085032640163,0.39612666812098496,35.1623295962683,pye3d 0.3.0 real-time,121.95547210444852,144.9295996509636,31.22557049276964,35.1623295962683,13.080930485700236,3.440779149801768,1.0,,-0.2418854395925018,4.16216303433007,47.043933595692735,10.392304845413264,-4.532150734898631,2.4650922711026246,37.731921218097305,-0.4128309705233172,-0.16330071033053487,-0.8960488088169745,1.720389574900884,1.7348316809318578,-2.002532256850412,158.07735709259066,149.92877615140716,178.78397257185662,178.78397257185662,0.0
10088.199164000001,0,0,0.950025200843811,0.38119966983795167,0.3961477279663086,35.15493392944336,2d c++,121.98389434814453,144.92454528808594,30.43057632446289,35.15493392944336,11.274270057678223,,,,,,,,,,,,,,,,,,,,,
10088.207222000001,1,0,0.9512360692024231,0.38193263849622305,0.3955561851503254,34.60617974518007,pye3d 0.3.0 real-time,122.21844431879138,145.0665155639219,30.837316582024975,34.60617974518007,12.869905995470162,3.386159341118787,1.0,,-0.2418854395925018,4.16216303433007,47.043933595692735,10.392304845413264,-4.471424627619605,2.4959793631964646,37.69862299459494,-0.40698759812591984,-0.16032859850805764,-0.8992529318674123,1.6930796705593936,1.7318198758218792,-1.9957971310712654,158.07735709259066,149.92877615140716,178.78397257185662,178.78397257185662,0.0
10088.207222000001,1,0,0.9512360692024231,0.3819169521331787,0.3955310185750326,34.61199951171875,2d c++,122.21342468261719,145.0725555419922,30.923099517822266,34.61199951171875,13.99424934387207,,,,,,,,,,,,,,,,,,,,,
10088.215052000001,1,0,0.9187699556350708,0.38126467659483365,0.3964351891619474,34.43745452618062,pye3d 0.3.0 real-time,122.00469651034676,144.8555546011326,30.68443193545253,34.43745452618062,12.967775219967834,3.3706825509360345,1.0,,-0.2418854395925018,4.16216303433007,47.043933595692735,10.392304845413264,-4.466609503108782,2.4931793049132667,37.696944781208764,-0.40652426255383567,-0.16059803424198282,-0.8994144180257903,1.6853412754680173,1.7320928487938068,-1.9953020035270914,158.07735709259066,149.92877615140716,178.78397257185662,178.78397257185662,0.0
10088.215052000001,1,0,0.9187699556350708,0.38125269412994384,0.39639720916748045,34.445701599121094,2d c++,122.00086212158203,144.8646697998047,30.716552734375,34.445701599121094,14.50403118133545,,,,,,,,,,,,,,,,,,,,,
10088.249414,2,0,0.9485228657722473,0.3815021562517482,0.3961092879682794,34.167005651770765,pye3d 0.3.0 real-time,122.08069000055943,144.93377088761295,30.452278160090202,34.167005651770765,13.20103416772919,3.343557591928834,1.0,,-0.2418854395925018,4.16216303433007,47.043933595692735,10.392304845413264,-4.456648369380716,2.4702581230404874,37.696568661293455,-0.4055657520139468,-0.16280362599604842,-0.8994506101815155,1.671778795964417,1.7343278541034013,-1.9944016493630359,158.07735709259066,149.92877615140716,178.78397257185662,178.78397257185662,0.0
10088.249414,2,0,0.9485228657722473,0.3815028667449951,0.39598051706949866,34.19242858886719,2d c++,122.08091735839844,144.9646759033203,30.177227020263672,34.19242858886719,17.74061393737793,,,,,,,,,,,,,,,,,,,,,
