key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,05.04.2022
Export Time,21:55:16
Frame Index Range:,0 - 888
Relative Time Range,00:00.000 - 00:14.931
Absolute Time Range,222592.943081 - 222607.874737
